season,hrat
1987,"0.045372	"
1988,0.0446100
1989,0.0327590
1990,0.0635840
1991,0.0490200
1992,0.0718820
1993,0.0853430
1994,0.0946290
1995,0.0652170
1996,0.0812380
1997,0.0751880
1998,0.0670290
1999,0.0957750
2000,0.1020830
2001,0.1534000
2002,0.1141457
,
