Gender,Age,HSAverage,TxtAmt,Debt,DebtAmt,HrsExer,HrsStudy,MariUse,NoAlBever,AcaMisconduct,DiffFees,HrsSocNet,HrsWeekTV,ComTime,TransMethod,PoliViews
0,18,83,0,0,NA,7,28,0,0,1,1,1,7,45,3,3
0,21,81,600,0,NA,6,10,0,0,0,1,7,1,70,3,2
0,18,87,30,1,3280,7,5,0,0,0,1,1,7,90,3,2
0,19,84,200,0,0,12,20,0,0,0,1,2,5,25,3,2
0,18,82,250,0,0,4,14,1,2,0,1,7,7,60,3,3
0,18,91,200,0,NA,4,12,0,2,0,1,4,6,45,3,2
1,18,86,300,0,0,4,14,0,0,0,0,2,5,70,2,3
1,21,88,300,0,NA,6,50,0,2,0,1,10,3,10,1,1
1,18,92,400,0,NA,3,20,0,3,0,1,3,2,60,3,5
0,19,82,350,0,NA,5,10,1,2,0,1,2,3,45,3,2
1,19,91,300,0,0,14,0,0,0,0,1,5,30,3,1,5
1,20,94,100,1,22000,3,15,0,0,0,1,7,1,10,4,5
1,20,89,150,0,0,5,7,1,0,1,0,13,21,10,5,5
1,20,90,250,1,22000,3,21,1,0,1,0,28,12,15,3,5
1,18,88,250,1,7000,12,20,0,0,1,1,2,2,60,3,2
0,19,84,180,0,NA,0,8,0,0,0,1,0,0,20,3,1
1,19,90,150,1,30000,7,14,0,2,0,0,10,1,10,4,5
1,20,87,100,1,15000,2,35,0,0,0,1,14,4,30,3,5
0,19,87,170,1,2100,0,15,0,0,0,0,20,20,45,3,2
1,19,84,400,1,800,5,30,0,0,1,0,14,3,40,1,1
0,18,85,600,0,NA,5,20,0,0,1,0,20,10,20,3,2
